                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5445,                 3.0579,                 2.8691,                0.27869,                0.19415,                0.03785,                0.01329,                 3.0133,                 3.9158,                  3.138,              0.0083665,              0.0083665,              0.0083665
                     35,                 2.6411,                 3.0293,                 2.8792,                0.26939,                0.15524,                 0.0269,                0.00882,                 2.9937,                 4.0335,                 3.0329,               0.008317,               0.008317,               0.008317
                     36,                 2.4512,                 2.9995,                 2.8942,                0.26837,                0.21749,                0.02703,                0.01163,                   2.85,                  7.832,                   3.04,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.4579,                 3.0086,                 2.8036,                0.44514,                0.23116,                0.21337,                0.09154,                 2.5679,                  4.189,                 2.7389,               0.008218,               0.008218,               0.008218
                     38,                 2.4937,                 2.9495,                 2.8407,                0.49883,                0.32847,                0.23294,                0.12733,                 2.4859,                 4.9575,                 2.7856,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.3997,                 2.9368,                 2.7935,                0.31043,                0.09419,                0.03211,                0.01447,                 2.9453,                 4.9442,                 3.1949,               0.008119,               0.008119,               0.008119
                     40,                 2.3617,                 2.8266,                  2.739,                 0.4852,                0.16626,                0.14587,                0.07029,                 2.6739,                 5.4726,                 2.9505,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.2843,                 2.8158,                 2.7062,                0.75719,                0.27335,                 0.3019,                0.16444,                 2.4005,                 4.7876,                 2.6826,                0.00802,                0.00802,                0.00802
                     42,                 2.3186,                 2.8202,                 2.6928,                0.50992,                0.29924,                0.29175,                0.15689,                 2.4458,                 4.0224,                 2.7265,              0.0079705,              0.0079705,              0.0079705
                     43,                  2.371,                 2.8255,                 2.7527,                0.44164,                0.36679,                0.27435,                0.14365,                 2.4449,                  4.869,                  2.745,               0.007921,               0.007921,               0.007921
                     44,                 2.2882,                 2.8024,                 2.6279,                0.50062,                0.35438,                0.30118,                0.15234,                 2.3455,                    3.8,                 2.5823,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.2247,                 2.7317,                 2.6171,                0.46663,                0.41989,                0.32573,                0.16145,                 2.1159,                 4.3235,                 2.3534,               0.007822,               0.007822,               0.007822
                     46,                 2.1814,                 2.7307,                 2.6446,                0.52827,                0.32795,                0.29007,                0.14361,                 2.0608,                 3.6038,                 2.2776,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.1999,                 2.7154,                 2.5872,                0.49223,                0.37169,                0.27092,                0.14323,                 2.0325,                 3.7497,                 2.2373,               0.007723,               0.007723,               0.007723
                     48,                 2.2216,                 2.6975,                 2.5608,                0.53243,                0.30861,                0.30014,                0.16623,                 2.1385,                 3.2931,                 2.3305,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.1383,                  2.717,                 2.5811,                0.51766,                0.33306,                0.28841,                0.13638,                 2.0944,                 3.4281,                 2.3296,               0.007624,               0.007624,               0.007624
                     50,                 2.1593,                 2.6545,                 2.5442,                 0.4216,                 0.3864,                0.25741,                0.12408,                 2.1762,                 3.5928,                 2.3938,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.1247,                 2.6148,                 2.5217,                0.47413,                0.34807,                0.25339,                0.12238,                 2.1143,                 3.7262,                 2.3888,               0.007525,               0.007525,               0.007525
                     52,                 2.1609,                 2.6183,                 2.5336,                0.41864,                0.36591,                0.20615,                0.09066,                 2.1486,                  3.826,                   2.43,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.1244,                 2.6138,                  2.482,                0.40802,                0.33681,                0.20339,                0.09552,                 2.0894,                 3.5663,                 2.3905,               0.007426,               0.007426,               0.007426
                     54,                 2.0614,                 2.6104,                 2.4473,                0.51822,                0.37655,                0.29912,                0.15853,                 1.9433,                 3.3706,                 2.2298,              0.0073765,              0.0073765,              0.0073765
