                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.0759,                 1.3343,                 1.5064,                0.80183,                0.71398,                0.80888,                0.59171,                0.97846,                 1.3193,                 1.2663,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.1007,                 1.3667,                 1.5508,                0.76096,                0.73308,                0.79106,                0.57841,                0.99384,                 1.3307,                  1.275,               0.002575,               0.002575,               0.002575
                    152,                 1.0505,                 1.3284,                 1.5025,                0.77391,                0.73131,                0.80449,                0.58342,                 1.0033,                 1.3186,                 1.2812,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0514,                 1.3141,                 1.5208,                 0.7601,                0.72369,                0.79721,                0.58312,                0.99558,                 1.3055,                 1.2775,               0.002476,               0.002476,               0.002476
                    154,                 1.0325,                 1.3139,                 1.4783,                0.72268,                0.76695,                0.80806,                0.59064,                0.99314,                 1.3176,                 1.2812,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0382,                  1.301,                 1.4775,                0.75149,                0.74594,                0.78899,                0.57969,                0.99377,                 1.2916,                 1.2853,               0.002377,               0.002377,               0.002377
                    156,                 1.0635,                 1.3389,                 1.5199,                0.70646,                0.75263,                0.78315,                0.57308,                0.98688,                 1.2951,                 1.2829,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0384,                 1.3273,                   1.48,                0.71494,                0.77134,                0.79158,                0.56771,                 1.0001,                 1.3143,                 1.2983,               0.002278,               0.002278,               0.002278
                    158,                 1.0585,                 1.3423,                 1.4932,                0.74198,                0.75523,                0.80421,                0.58174,                 1.0096,                 1.3198,                 1.2941,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0265,                 1.3041,                 1.4978,                0.77353,                0.74353,                0.81483,                0.59614,                0.99851,                 1.3446,                 1.2967,               0.002179,               0.002179,               0.002179
                    160,                 1.0273,                 1.2991,                 1.4644,                0.74381,                0.74312,                0.79711,                0.57603,                 1.0324,                 1.4172,                 1.3118,              0.0021295,              0.0021295,              0.0021295
                    161,                  1.053,                 1.3145,                 1.4887,                0.75488,                0.74358,                0.80255,                0.60134,                 1.0075,                 1.3809,                 1.3022,                0.00208,                0.00208,                0.00208
                    162,                  1.015,                 1.3115,                 1.4641,                0.75213,                0.73613,                0.80284,                0.60501,                0.99515,                 1.3662,                 1.2874,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0212,                 1.2828,                 1.4471,                0.76903,                0.77058,                0.81394,                0.60872,                0.96831,                 1.3062,                 1.2687,               0.001981,               0.001981,               0.001981
                    164,                 1.0436,                 1.2797,                 1.4608,                0.77794,                0.75881,                0.81993,                0.60719,                0.96029,                 1.2645,                 1.2593,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0507,                 1.3295,                 1.5132,                0.79451,                0.75428,                0.82136,                0.60415,                0.95562,                 1.2606,                 1.2532,               0.001882,               0.001882,               0.001882
                    166,                 1.0182,                 1.2833,                 1.5051,                0.79669,                0.76933,                0.82765,                0.61345,                0.94497,                 1.2305,                   1.24,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.0398,                 1.2816,                 1.4709,                0.78233,                0.77076,                0.82921,                0.61989,                 0.9411,                 1.2262,                 1.2349,               0.001783,               0.001783,               0.001783
                    168,                 1.0088,                 1.2594,                 1.4522,                 0.7659,                0.77188,                0.82494,                0.61403,                0.94586,                 1.2179,                 1.2352,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.0059,                 1.2835,                 1.4603,                0.74254,                 0.7592,                0.81708,                0.61106,                 0.9321,                 1.2452,                 1.2264,               0.001684,               0.001684,               0.001684
                    170,                0.98545,                 1.2383,                 1.4229,                0.76268,                  0.719,                0.82252,                0.61246,                0.93908,                 1.2496,                 1.2283,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.0294,                 1.2664,                  1.478,                0.78883,                0.71075,                0.82589,                 0.6201,                0.92987,                 1.2349,                 1.2252,               0.001585,               0.001585,               0.001585
                    172,                 1.0152,                 1.2232,                 1.4199,                0.79057,                 0.7523,                0.83721,                0.62636,                0.93568,                 1.2365,                 1.2291,              0.0015355,              0.0015355,              0.0015355
                    173,                0.98314,                 1.2278,                 1.3849,                0.80355,                0.75379,                0.84655,                 0.6342,                0.93952,                 1.2361,                 1.2392,               0.001486,               0.001486,               0.001486
                    174,                 1.0031,                 1.2749,                 1.4529,                0.80393,                0.75102,                0.84812,                0.62845,                0.94136,                 1.2318,                 1.2414,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.0318,                 1.2893,                 1.4478,                0.81908,                0.76168,                0.84659,                0.63077,                0.94071,                 1.2136,                 1.2444,               0.001387,               0.001387,               0.001387
                    176,                0.98723,                 1.2196,                 1.4437,                0.77925,                0.79712,                0.85039,                0.64051,                0.91943,                  1.188,                 1.2198,              0.0013375,              0.0013375,              0.0013375
                    177,                0.99723,                  1.248,                 1.4626,                0.80945,                0.79112,                 0.8522,                0.63677,                0.92534,                 1.1835,                 1.2156,               0.001288,               0.001288,               0.001288
                    178,                0.97353,                 1.2003,                 1.4444,                0.78221,                0.79247,                0.84119,                0.64076,                0.90811,                 1.1711,                 1.2046,              0.0012385,              0.0012385,              0.0012385
                    179,                0.99189,                 1.2799,                 1.4357,                0.76232,                0.79173,                0.84208,                0.63578,                0.91015,                 1.1676,                 1.1995,               0.001189,               0.001189,               0.001189
                    180,                 1.0143,                 1.2509,                 1.4526,                0.78242,                0.79979,                0.85015,                0.63212,                0.91089,                 1.1607,                 1.2006,              0.0011395,              0.0011395,              0.0011395
                    181,                0.99991,                 1.2521,                  1.414,                0.78697,                0.79384,                0.84374,                0.62787,                0.92077,                 1.1892,                 1.2016,                0.00109,                0.00109,                0.00109
                    182,                 1.0059,                 1.2469,                 1.4578,                0.78964,                0.76193,                0.84356,                0.62922,                0.92157,                 1.2092,                 1.2089,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.0006,                 1.2099,                 1.4421,                0.79902,                 0.7666,                0.84485,                0.63524,                0.91859,                 1.2148,                 1.2086,               0.000991,               0.000991,               0.000991
                    184,                0.97557,                 1.2304,                 1.4176,                0.78313,                0.77548,                0.85076,                0.63829,                0.92086,                 1.2218,                 1.2154,              0.0009415,              0.0009415,              0.0009415
                    185,                0.98454,                  1.209,                  1.402,                0.82521,                0.75355,                0.85554,                0.64547,                0.92118,                 1.2107,                  1.213,               0.000892,               0.000892,               0.000892
                    186,                 0.9492,                 1.2047,                 1.3983,                0.82321,                0.76462,                0.85535,                0.64333,                0.91876,                    1.2,                 1.2136,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.0291,                 1.2695,                 1.4356,                0.79102,                0.79441,                0.85219,                0.64526,                0.91207,                  1.183,                 1.2113,               0.000793,               0.000793,               0.000793
                    188,                 1.0129,                 1.2245,                 1.4416,                0.79663,                0.78372,                0.84553,                0.63947,                0.90393,                 1.1631,                  1.204,              0.0007435,              0.0007435,              0.0007435
                    189,                0.99797,                 1.2092,                 1.4394,                 0.8025,                0.77144,                0.84579,                0.64054,                0.90005,                 1.1589,                 1.2005,               0.000694,               0.000694,               0.000694
                    190,                 1.0221,                  1.479,                 1.4385,                0.75446,                0.80477,                0.84348,                0.64424,                0.92287,                 1.1645,                 1.2071,              0.0006445,              0.0006445,              0.0006445
                    191,                 1.1528,                 1.4795,                 1.4653,                0.74529,                0.81396,                0.83602,                0.62694,                0.95662,                 1.2026,                 1.2293,               0.000595,               0.000595,               0.000595
                    192,                 1.0238,                 1.3569,                  1.414,                0.75498,                0.79438,                0.83435,                0.62113,                0.96742,                 1.2171,                 1.2393,              0.0005455,              0.0005455,              0.0005455
                    193,                0.98607,                 1.3095,                    1.4,                0.73975,                 0.8068,                 0.8257,                0.60441,                0.97854,                 1.2433,                 1.2491,               0.000496,               0.000496,               0.000496
                    194,                0.97086,                 1.2957,                 1.4003,                0.73219,                0.80346,                0.82757,                0.60465,                0.96462,                 1.2401,                 1.2401,              0.0004465,              0.0004465,              0.0004465
                    195,                0.98726,                 1.2675,                 1.4025,                0.75223,                0.79533,                0.82906,                0.60752,                0.95068,                 1.2257,                 1.2293,               0.000397,               0.000397,               0.000397
                    196,                 1.0642,                 1.2967,                 1.3848,                0.76123,                0.79088,                0.83383,                 0.6191,                0.93619,                 1.1987,                 1.2179,              0.0003475,              0.0003475,              0.0003475
                    197,                0.99537,                 1.3451,                 1.4115,                0.75066,                 0.8145,                0.83825,                0.62974,                0.93314,                 1.1745,                 1.2133,               0.000298,               0.000298,               0.000298
                    198,                0.99365,                 1.2787,                 1.3674,                0.74561,                0.82259,                0.84239,                0.63151,                0.92894,                 1.1682,                 1.2117,              0.0002485,              0.0002485,              0.0002485
                    199,                0.91758,                 1.2319,                 1.3577,                0.75522,                0.82424,                0.84887,                0.64097,                0.91835,                 1.1487,                 1.2075,               0.000199,               0.000199,               0.000199
