                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 3.1607,                 4.7056,                 3.2919,                 3.3431,                0.00868,                0.42374,                0.00704,                0.00188,                  4e-05,                0.00313,                  2e-05,                      0,                 3.5831,                 4.9612,                 3.7781,                 3.4721,               0.008812,               0.008812,               0.008812
                     26,                 3.0028,                 4.6264,                 3.2287,                 3.3453,                0.00868,                0.42374,                0.00704,                0.00188,                  4e-05,                0.00313,                  2e-05,                      0,                  3.596,                 5.4708,                  3.966,                 3.5386,              0.0087625,              0.0087625,              0.0087625
                     27,                  3.031,                 4.4867,                 3.2127,                 3.3181,                0.00869,                0.58214,                0.01183,                0.00339,                0.00044,                0.03476,                0.00026,                  4e-05,                  3.572,                 5.2355,                 3.8349,                 3.4469,               0.008713,               0.008713,               0.008713
                     28,                 2.9408,                 4.5233,                 3.1945,                 3.2693,                 0.0105,                0.69896,                0.02534,                0.00719,                0.25909,                0.01289,                0.00808,                0.00221,                 3.2024,                 4.6277,                 3.5629,                 3.3199,              0.0086635,              0.0086635,              0.0086635
                     29,                 2.9609,                 4.3496,                 3.1434,                 3.2151,                0.02796,                0.29015,                0.02872,                0.00833,                0.00345,                0.01334,                0.00082,                 0.0002,                 2.9776,                 4.4979,                 3.7173,                 3.3142,               0.008614,               0.008614,               0.008614
                     30,                 2.8261,                 4.3142,                 3.1132,                 3.2196,                0.27549,                0.11598,                0.04518,                0.01789,                0.26696,                0.06443,                0.01419,                0.00309,                 2.8732,                 4.7257,                 3.5446,                 3.3922,              0.0085645,              0.0085645,              0.0085645
                     31,                 2.8479,                  4.173,                 3.0844,                 3.1776,                0.58037,                0.10567,                0.10349,                0.03991,                0.57106,                0.10567,                0.05688,                0.01459,                 2.6362,                 4.7602,                 3.6132,                 3.2809,               0.008515,               0.008515,               0.008515
                     32,                 2.8718,                 4.1341,                 3.1058,                 3.1881,                0.32004,                0.13082,                0.07039,                0.02283,                0.30034,                0.06831,                0.02179,                0.00484,                 2.8251,                 4.8505,                 3.8755,                 3.1761,              0.0084655,              0.0084655,              0.0084655
                     33,                 2.7542,                 4.1507,                 3.0449,                 3.1476,                0.54299,                0.11311,                0.03427,                0.01303,                0.54196,                0.07072,                0.02301,                0.00599,                 2.6823,                 5.0728,                 4.2062,                 3.1912,               0.008416,               0.008416,               0.008416
                     34,                 2.7852,                 4.0749,                 3.0531,                 3.1038,                0.64098,                0.15749,                0.14858,                0.06333,                0.53342,                0.05851,                0.02103,                0.00447,                  2.565,                 4.9754,                 3.6696,                 3.0166,              0.0083665,              0.0083665,              0.0083665
                     35,                  2.804,                 4.1628,                 3.0487,                 3.0775,                0.66744,                0.11503,                0.15175,                0.07278,                0.51375,                0.00709,                0.00299,                0.00043,                 2.7213,                 4.7478,                 3.9154,                 3.0949,               0.008317,               0.008317,               0.008317
                     36,                 2.6393,                 4.0446,                 2.9743,                 3.1071,                0.66744,                0.11503,                0.15175,                0.07278,                0.51375,                0.00709,                0.00299,                0.00043,                 2.7446,                  5.408,                 3.9243,                 3.1036,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.6469,                 3.9455,                 2.9937,                 3.0265,                0.41811,                0.16662,                0.11372,                0.04818,                0.27313,                0.01418,                 0.0047,                0.00107,                 2.7525,                 4.6459,                 3.7505,                 3.0583,               0.008218,               0.008218,               0.008218
                     38,                  2.633,                 3.9399,                 2.9377,                 3.0062,                0.45851,                0.24726,                 0.1824,                0.09668,                0.25341,                0.01064,                0.00194,                0.00022,                  2.546,                 4.4652,                 4.1995,                 2.9484,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.5769,                 3.8867,                 2.9535,                 2.9654,                0.45703,                0.29636,                0.22338,                0.11312,                 0.2613,                0.03546,                0.00523,                0.00066,                 2.4831,                 4.2068,                  4.384,                 2.9106,               0.008119,               0.008119,               0.008119
                     40,                 2.5633,                 3.8725,                 2.8481,                 2.9535,                0.49901,                0.28653,                0.20134,                0.10131,                0.27788,                0.03369,                0.01258,                0.00233,                 2.5608,                 4.1692,                 4.2908,                 2.8911,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.4966,                 3.8034,                 2.8619,                 2.9125,                0.41868,                0.42543,                0.17841,                0.07867,                 0.2511,                0.00258,                0.00019,                  3e-05,                 2.5069,                 6.0842,                  6.221,                 2.9157,                0.00802,                0.00802,                0.00802
                     42,                 2.5394,                 3.7512,                 2.8602,                 2.8999,                 0.5264,                0.36291,                0.26564,                0.14069,                0.27152,                0.03901,                0.01135,                0.00212,                 2.3373,                 4.4689,                  3.699,                 2.6938,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.5928,                 3.7859,                 2.8699,                 2.9509,                0.47967,                0.35395,                0.21137,                0.10507,                0.62449,                0.20686,                0.11931,                0.03552,                 2.2223,                 3.6135,                 3.4668,                 2.5658,               0.007921,               0.007921,               0.007921
                     44,                  2.495,                 3.7631,                 2.8659,                 2.8346,                0.52891,                0.34313,                0.25391,                0.12599,                0.44548,                0.20152,                0.15076,                0.04166,                  2.222,                 3.5642,                 3.1052,                 2.5177,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.4549,                 3.6947,                  2.791,                 2.8219,                0.58621,                0.27279,                0.24177,                0.11628,                0.32518,                0.12505,                0.05576,                0.01173,                 2.2967,                 3.7518,                 3.3174,                 2.5175,               0.007822,               0.007822,               0.007822
                     46,                 2.3984,                 3.6695,                 2.7553,                  2.823,                0.54982,                0.36822,                0.21405,                0.10178,                0.69132,                0.15438,                0.13424,                0.03309,                 2.2229,                 3.7555,                 3.6892,                 2.4329,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.4172,                 3.5736,                 2.7837,                 2.8084,                 0.5275,                0.35909,                0.25072,                0.12422,                0.45391,                0.15733,                0.12451,                0.02928,                 2.2673,                  3.841,                 3.6621,                   2.47,               0.007723,               0.007723,               0.007723
                     48,                 2.4038,                 3.6764,                 2.7643,                 2.7655,                0.50172,                0.40361,                0.26595,                0.13746,                0.32766,                0.24287,                0.07637,                0.01569,                 2.2399,                 3.8566,                 3.9984,                 2.4381,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.2862,                 3.4567,                 2.7467,                 2.7608,                 0.5741,                0.38726,                0.29011,                0.13579,                0.39135,                 0.1737,                0.13213,                 0.0326,                 2.1135,                 3.6088,                 4.9024,                 2.3698,               0.007624,               0.007624,               0.007624
                     50,                 2.3962,                 3.3874,                 2.7104,                 2.7661,                0.43359,                0.23175,                0.15245,                0.06361,                0.28018,                0.06189,                0.01715,                0.00397,                 2.3968,                 4.1484,                 4.4132,                 2.5754,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.3388,                 3.4789,                 2.6544,                 2.7291,                0.39487,                0.30649,                0.12366,                0.05209,                0.28925,                0.05496,                0.01972,                0.00448,                 2.4176,                 4.4937,                 4.2127,                 2.5802,               0.007525,               0.007525,               0.007525
