                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                  1.576,                 2.6911,                 1.8366,                 2.0264,                0.55052,                0.61794,                0.59579,                0.36427,                0.37236,                0.37144,                0.35804,                0.16973,                 1.4966,                 2.3189,                  1.872,                 1.7439,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.605,                 2.7389,                 1.8419,                 1.9773,                0.52103,                 0.6102,                0.59787,                0.33853,                0.35674,                0.35605,                0.29733,                0.12768,                 1.5607,                 2.4846,                 1.9121,                 1.7901,               0.004951,               0.004951,               0.004951
                    104,                 1.5759,                  2.817,                 1.8172,                 1.9821,                0.60395,                0.58397,                0.61564,                0.36884,                0.40924,                0.42337,                0.36194,                 0.1585,                 1.5575,                 2.4038,                 1.8596,                 1.7871,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.6402,                 2.7605,                 1.8695,                 2.0337,                0.61856,                0.58599,                0.64385,                0.39104,                0.41027,                0.44736,                 0.3825,                0.17766,                  1.547,                 2.3377,                 1.8122,                 1.7801,               0.004852,               0.004852,               0.004852
                    106,                 1.5513,                  2.847,                 1.8245,                 2.0075,                0.53599,                0.61208,                0.59907,                0.35665,                0.35874,                 0.4188,                 0.3348,                0.16018,                 1.5556,                 2.3372,                 1.8174,                 1.7695,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.5708,                 2.6897,                   1.82,                 1.9914,                0.54123,                0.55236,                0.56521,                0.35267,                0.36161,                0.43491,                0.37512,                0.17301,                 1.4904,                 2.3946,                 1.8456,                  1.744,               0.004753,               0.004753,               0.004753
                    108,                 1.5318,                 2.6761,                 1.7551,                 1.9888,                0.63061,                0.48508,                0.56486,                   0.34,                0.41481,                0.39875,                0.39566,                0.18554,                 1.5069,                  2.421,                 1.8506,                 1.7402,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.5224,                 2.8075,                 1.7922,                 1.9605,                0.58578,                0.57671,                0.60956,                0.36884,                0.37622,                0.39577,                0.33805,                0.16642,                 1.4737,                 2.4399,                 1.8149,                 1.7219,               0.004654,               0.004654,               0.004654
                    110,                 1.5722,                 2.7822,                 1.8381,                 1.9536,                 0.5252,                0.63391,                0.60961,                0.36654,                0.29877,                0.39065,                0.33166,                0.16188,                 1.4615,                 2.4093,                 1.8106,                 1.7312,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.5128,                 2.8475,                 1.7872,                 1.9786,                0.54104,                0.64327,                0.63301,                0.39878,                0.30836,                 0.4154,                0.34699,                0.15998,                 1.4776,                 2.3516,                 1.7352,                 1.7269,               0.004555,               0.004555,               0.004555
                    112,                  1.519,                 2.6802,                 1.7407,                 1.9422,                0.57166,                0.59448,                0.62625,                0.40149,                0.35194,                0.38596,                0.33177,                0.16615,                  1.498,                  2.252,                 1.7294,                 1.7481,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.5073,                 2.6551,                 1.7432,                 1.9511,                0.55432,                0.54691,                0.57215,                0.35315,                0.33347,                0.37535,                0.32841,                0.14984,                  1.522,                 2.5466,                 1.8855,                 1.7987,               0.004456,               0.004456,               0.004456
                    114,                 1.4819,                 2.7143,                 1.7558,                 1.9717,                0.48815,                0.52345,                0.56382,                0.34753,                0.33608,                0.34184,                 0.3176,                0.15055,                 1.5559,                 2.5366,                 1.9094,                  1.797,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.5279,                 2.6585,                 1.7477,                 1.9402,                0.57958,                0.63897,                0.66597,                0.42645,                0.34741,                0.43725,                0.36023,                0.18534,                 1.4081,                    2.3,                 1.7396,                 1.6554,               0.004357,               0.004357,               0.004357
                    116,                 1.5218,                 2.6731,                 1.7611,                 1.9609,                0.64464,                0.66478,                0.69854,                0.44874,                0.40592,                0.45768,                0.41605,                0.19776,                 1.4097,                 2.2136,                 1.6625,                 1.6541,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.5028,                 2.7038,                 1.6787,                 1.8967,                0.59357,                0.66542,                0.68421,                0.44315,                0.39791,                0.45218,                0.39543,                0.18043,                 1.3946,                 2.2022,                 1.6595,                 1.6361,               0.004258,               0.004258,               0.004258
                    118,                 1.5222,                 2.6712,                 1.7221,                 1.9199,                0.53918,                0.62074,                0.63404,                0.38291,                0.43419,                0.42214,                0.36685,                0.16026,                 1.4449,                 2.3065,                 1.7336,                 1.6664,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.4328,                 2.4796,                 1.7023,                 1.8774,                0.58042,                0.64729,                0.68375,                0.43648,                0.44996,                0.42909,                0.40053,                0.18427,                 1.3996,                  2.134,                 1.5942,                 1.6264,               0.004159,               0.004159,               0.004159
                    120,                 1.4065,                  2.501,                 1.6454,                 1.8355,                0.60988,                0.65368,                0.67825,                0.42347,                0.39152,                0.47041,                0.42325,                0.18875,                 1.4086,                 2.0958,                 1.5757,                 1.6178,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.4527,                 2.6565,                 1.7499,                 1.8921,                0.59428,                0.66608,                0.67953,                0.42518,                0.43951,                0.52616,                0.45475,                0.20835,                 1.4049,                 2.0678,                 1.5848,                 1.6222,                0.00406,                0.00406,                0.00406
                    122,                  1.527,                 2.7016,                 1.7158,                 1.9342,                0.61801,                0.59037,                0.65146,                0.40128,                0.39785,                0.39862,                0.38085,                 0.1737,                 1.4368,                 2.3836,                 1.6923,                 1.6557,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.4085,                 2.5315,                 1.6478,                 1.8863,                0.57375,                0.58242,                0.61063,                0.36708,                0.37103,                0.39526,                0.34722,                0.15653,                 1.4902,                 2.6468,                  1.762,                 1.7047,               0.003961,               0.003961,               0.003961
                    124,                 1.4498,                 2.5998,                 1.6634,                  1.882,                0.67731,                0.62649,                0.69773,                0.46523,                0.52358,                 0.4452,                0.46177,                0.21682,                 1.3887,                 2.2735,                 1.5926,                  1.613,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.4058,                 2.5379,                 1.6532,                 1.8894,                0.68861,                0.64478,                0.70309,                0.45247,                 0.4894,                0.51726,                0.48847,                0.23572,                 1.4065,                 2.2087,                 1.5602,                 1.6241,               0.003862,               0.003862,               0.003862
                    126,                  1.381,                  2.495,                 1.6065,                 1.8547,                 0.6699,                0.62807,                0.67789,                0.44596,                0.51072,                 0.4872,                0.46414,                0.22169,                 1.3542,                 2.2708,                  1.584,                 1.6042,              0.0038125,              0.0038125,              0.0038125
                    127,                  1.411,                 2.5598,                 1.6208,                 1.8585,                0.64609,                0.64538,                0.68984,                0.45812,                0.52269,                0.40617,                0.44603,                0.22374,                 1.3253,                 2.0459,                 1.5505,                   1.58,               0.003763,               0.003763,               0.003763
                    128,                 1.4251,                 2.5238,                 1.6034,                 1.8798,                0.65371,                0.60819,                0.68872,                0.46323,                0.45278,                0.50056,                0.47547,                0.23738,                 1.3115,                 2.0419,                 1.5662,                 1.5776,              0.0037135,              0.0037135,              0.0037135
                    129,                   1.39,                 2.4601,                 1.6038,                 1.8166,                0.63831,                0.58269,                0.66048,                0.43292,                0.50301,                0.46464,                0.46963,                0.23028,                 1.3253,                  2.113,                 1.5823,                 1.5752,               0.003664,               0.003664,               0.003664
                    130,                 1.4247,                 2.7519,                 1.6434,                 1.8502,                0.50955,                0.60194,                0.61234,                0.39955,                0.44946,                 0.4163,                0.43481,                0.21917,                 1.3633,                 2.1051,                 1.6333,                 1.6061,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.4352,                 2.5843,                 1.6375,                 1.8042,                0.51723,                0.60349,                0.60398,                0.38699,                 0.4349,                0.42531,                0.40529,                0.19611,                 1.4021,                   2.33,                 1.6673,                 1.6589,               0.003565,               0.003565,               0.003565
                    132,                 1.3906,                 2.4482,                 1.6046,                 1.8429,                  0.572,                0.63289,                0.65744,                0.42335,                0.41735,                0.46114,                0.42973,                0.20774,                 1.3255,                 2.1528,                 1.5409,                 1.5869,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.3141,                 2.4132,                  1.572,                 1.8183,                0.65753,                0.63594,                0.70978,                0.46163,                0.53766,                0.44126,                0.46367,                0.22977,                 1.3233,                 2.0991,                 1.5138,                 1.5897,               0.003466,               0.003466,               0.003466
                    134,                 1.3834,                 2.5176,                 1.6027,                 1.8175,                0.64423,                 0.6362,                0.72197,                0.47917,                0.53565,                0.47826,                0.51581,                0.24058,                 1.2885,                 2.1329,                 1.5154,                 1.5408,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.3889,                 2.5835,                 1.5934,                 1.8484,                0.69457,                0.62787,                0.71168,                0.46568,                0.48844,                0.54979,                0.50941,                0.24862,                 1.2874,                 2.2064,                 1.5309,                 1.5424,               0.003367,               0.003367,               0.003367
                    136,                 1.3396,                 2.5537,                 1.5742,                 1.8239,                 0.5982,                0.66134,                0.68029,                0.42989,                 0.4699,                0.49396,                0.46143,                0.20951,                 1.3669,                 2.4135,                 1.5966,                 1.5996,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3357,                  2.354,                 1.5644,                 1.8111,                0.66857,                0.70996,                0.73633,                0.46904,                0.49696,                0.57064,                 0.5111,                0.24837,                 1.3602,                 2.2108,                 1.4958,                 1.6106,               0.003268,               0.003268,               0.003268
                    138,                 1.3352,                 2.4008,                 1.5276,                 1.7956,                0.69729,                0.69752,                0.72964,                0.45958,                0.53636,                0.58585,                0.52351,                0.25442,                 1.3377,                 2.1389,                 1.5113,                 1.5997,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.2999,                 2.3792,                 1.5432,                 1.8035,                0.68877,                0.69119,                0.74069,                0.47603,                0.54747,                0.55711,                0.54265,                0.25522,                 1.2848,                 2.1861,                    1.5,                 1.5523,               0.003169,               0.003169,               0.003169
                    140,                 1.2986,                 2.3783,                 1.5376,                 1.7627,                0.65927,                0.69713,                0.72917,                0.46283,                0.50581,                 0.5451,                0.50017,                0.23099,                 1.3212,                 2.1421,                 1.5066,                 1.5792,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.3347,                 2.4921,                 1.5478,                 1.7757,                0.66578,                0.69529,                0.70757,                0.45618,                0.49904,                0.51041,                0.47615,                0.21904,                 1.2856,                 2.1245,                 1.4957,                 1.5454,                0.00307,                0.00307,                0.00307
                    142,                 1.3478,                  2.436,                  1.555,                 1.8029,                0.68765,                0.66244,                0.71486,                0.45483,                0.54544,                0.51726,                0.48781,                0.22278,                 1.3396,                 2.1773,                 1.5282,                 1.5982,              0.0030205,              0.0030205,              0.0030205
                    143,                  1.333,                 2.3292,                 1.5509,                 1.7965,                0.69664,                0.72103,                0.74577,                0.49704,                0.57919,                0.56077,                0.53545,                0.26852,                 1.3258,                 2.0142,                  1.443,                  1.582,               0.002971,               0.002971,               0.002971
                    144,                 1.2923,                 2.3852,                 1.4735,                 1.7447,                0.73966,                0.74096,                0.77435,                0.52222,                0.56125,                0.58838,                0.54269,                0.28177,                 1.2503,                 1.9786,                 1.4125,                 1.5291,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.3321,                 2.2522,                  1.484,                 1.8048,                 0.6821,                0.73201,                 0.7608,                0.53601,                0.54385,                 0.5643,                0.54601,                0.27504,                 1.2572,                 1.9887,                 1.4129,                 1.5228,               0.002872,               0.002872,               0.002872
                    146,                  1.249,                 2.4294,                 1.4571,                 1.7256,                0.70023,                0.72189,                0.73755,                0.51465,                0.51471,                0.59428,                0.52743,                 0.2827,                 1.2424,                 2.0235,                 1.4295,                 1.5023,              0.0028225,              0.0028225,              0.0028225
                    147,                  1.307,                 2.3806,                  1.499,                 1.7522,                0.69334,                0.72678,                0.76032,                0.52866,                0.52987,                0.60182,                0.54946,                0.28489,                 1.2764,                 1.9437,                 1.4146,                 1.5236,               0.002773,               0.002773,               0.002773
                    148,                 1.2553,                 2.4429,                 1.5153,                 1.7482,                 0.7071,                0.71351,                0.77227,                0.52013,                 0.5428,                0.57551,                0.56029,                0.29064,                 1.3826,                 1.9706,                 1.4251,                 1.5659,              0.0027235,              0.0027235,              0.0027235
                    149,                  1.237,                 2.3312,                 1.4503,                 1.7392,                0.69611,                0.69411,                0.76371,                0.53571,                0.51834,                0.54823,                0.53595,                0.28023,                 1.2716,                 1.9497,                 1.3916,                 1.5286,               0.002674,               0.002674,               0.002674
                    150,                 1.2996,                 2.4034,                 1.5119,                 1.7552,                0.69536,                0.71252,                0.76341,                0.52793,                0.50258,                  0.582,                0.52233,                0.26761,                 1.2447,                 1.9682,                 1.3921,                 1.5186,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.3054,                 2.4431,                 1.5105,                 1.7815,                0.70869,                0.71325,                0.76799,                0.53731,                0.57737,                 0.5784,                0.56261,                0.28073,                 1.2204,                 1.9986,                 1.3741,                  1.499,               0.002575,               0.002575,               0.002575
                    152,                 1.2494,                 2.3772,                 1.4562,                 1.7213,                0.72315,                0.66803,                0.74825,                0.52624,                 0.5944,                0.57133,                0.55836,                0.28567,                 1.2188,                 1.9844,                 1.4056,                 1.5026,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.2888,                 2.3297,                 1.4635,                 1.7692,                  0.738,                0.63394,                0.74219,                 0.5265,                0.57463,                0.53609,                0.54199,                0.28516,                 1.2006,                 2.0115,                 1.4319,                 1.4932,               0.002476,               0.002476,               0.002476
                    154,                 1.2859,                 2.2783,                 1.4878,                 1.7257,                0.67967,                0.62753,                0.70562,                0.49324,                0.56117,                0.50189,                0.51358,                0.26388,                 1.2747,                 2.1717,                 1.5219,                 1.5458,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.2831,                 2.3689,                  1.459,                 1.7436,                0.66954,                0.64465,                0.72233,                0.50121,                0.50851,                 0.5417,                0.53231,                0.27514,                  1.263,                 2.1252,                 1.4908,                 1.5414,               0.002377,               0.002377,               0.002377
                    156,                 1.2883,                 2.4303,                 1.4899,                 1.7573,                0.70529,                0.66928,                0.75016,                0.53444,                0.54118,                  0.555,                0.55622,                0.30044,                 1.2141,                 2.0229,                 1.4194,                 1.5107,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.2651,                 2.2968,                 1.4764,                 1.7329,                0.71065,                0.72168,                0.78768,                0.56158,                0.55941,                0.59066,                0.57471,                0.31136,                 1.1868,                 1.9356,                  1.364,                  1.483,               0.002278,               0.002278,               0.002278
                    158,                 1.2863,                 2.3426,                  1.483,                 1.7365,                0.79292,                0.69434,                0.78941,                0.55353,                0.63366,                0.57152,                0.59054,                0.31745,                 1.1856,                  1.976,                 1.3451,                  1.481,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.2726,                 2.2629,                 1.4678,                 1.7512,                0.75215,                0.70493,                0.78874,                0.56159,                0.66871,                0.55738,                0.59648,                0.31648,                 1.1727,                 1.9707,                 1.3489,                 1.4678,               0.002179,               0.002179,               0.002179
                    160,                 1.2457,                 2.4834,                 1.4459,                 1.7016,                0.70254,                0.72889,                 0.7833,                0.55133,                0.58456,                0.58646,                 0.5753,                0.28931,                 1.1876,                 2.0108,                 1.3743,                 1.4781,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.2723,                 2.3805,                 1.4522,                 1.7058,                0.66956,                0.76159,                0.78329,                0.56402,                0.55615,                0.60385,                0.57032,                0.29396,                 1.1794,                 2.0459,                 1.3744,                 1.4858,                0.00208,                0.00208,                0.00208
                    162,                 1.2545,                  2.316,                 1.4634,                 1.7009,                0.69084,                0.73886,                0.78932,                0.56751,                0.57928,                0.58537,                0.57573,                0.29384,                 1.1836,                 2.0341,                 1.3775,                 1.4827,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.2277,                 2.3387,                 1.4227,                 1.6796,                0.67987,                 0.7234,                0.77153,                0.52955,                0.53722,                0.56996,                0.53206,                0.26408,                 1.2314,                 2.0595,                 1.4202,                 1.5159,               0.001981,               0.001981,               0.001981
                    164,                 1.2601,                 2.3289,                 1.4303,                 1.7008,                0.72354,                0.74145,                0.78812,                0.56234,                 0.5983,                0.53833,                0.56306,                0.28666,                 1.1568,                 1.9926,                 1.3405,                 1.4585,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.2554,                 2.2231,                 1.4713,                 1.7364,                0.73437,                0.71461,                0.80223,                0.57728,                0.62842,                0.55259,                0.58349,                0.30381,                 1.1364,                  1.898,                 1.3108,                 1.4358,               0.001882,               0.001882,               0.001882
                    166,                 1.2419,                  2.274,                  1.436,                 1.7328,                 0.7774,                0.70025,                  0.808,                0.59269,                0.63833,                0.55858,                0.59704,                0.34001,                 1.1255,                 1.8111,                 1.2837,                 1.4201,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.2085,                 2.2307,                 1.4256,                 1.6959,                0.73225,                0.70943,                0.78566,                 0.5729,                0.57834,                0.60057,                0.59173,                0.33162,                  1.144,                 1.8733,                 1.2687,                 1.4356,               0.001783,               0.001783,               0.001783
                    168,                  1.206,                 2.1671,                 1.3932,                 1.6789,                0.74237,                0.72493,                0.79281,                0.57144,                0.56604,                0.59843,                0.58905,                0.32906,                 1.1544,                 1.9046,                 1.2804,                 1.4391,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.2255,                 2.2887,                 1.4228,                 1.6927,                0.72718,                0.71311,                0.79282,                 0.5657,                0.53563,                0.58813,                0.58223,                0.32339,                 1.1475,                 1.9541,                 1.2999,                 1.4349,               0.001684,               0.001684,               0.001684
                    170,                 1.2108,                 2.1955,                 1.3802,                 1.6647,                0.69513,                0.72517,                0.78051,                0.54986,                0.52259,                0.59949,                 0.5662,                0.30366,                 1.1609,                 1.9743,                 1.3377,                 1.4496,              0.0016345,              0.0016345,              0.0016345
                    171,                   1.22,                 2.2373,                 1.4056,                 1.6945,                0.68237,                 0.7403,                0.78612,                0.55554,                0.51537,                0.59525,                0.56476,                  0.301,                 1.1492,                  1.932,                 1.3294,                 1.4468,               0.001585,               0.001585,               0.001585
                    172,                 1.2129,                 2.2972,                 1.3713,                 1.6594,                0.73913,                0.74737,                0.78853,                0.55501,                0.55489,                0.61455,                0.57037,                0.31118,                 1.1203,                 1.9012,                 1.3143,                 1.4226,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.1817,                  2.263,                 1.3903,                 1.6244,                0.74131,                0.75936,                0.80107,                0.56355,                0.61391,                0.62117,                0.60118,                0.32502,                 1.1267,                 1.8954,                 1.3011,                 1.4136,               0.001486,               0.001486,               0.001486
                    174,                 1.2015,                 2.1757,                 1.3866,                 1.6646,                0.74651,                0.75864,                0.81034,                0.57151,                 0.6143,                0.62984,                0.61158,                0.33449,                 1.1265,                 1.8767,                 1.2879,                 1.4138,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.2517,                 2.3296,                 1.4106,                 1.6761,                0.79695,                0.72735,                0.82457,                0.59077,                0.65841,                0.60851,                0.62585,                0.34444,                 1.1337,                 1.8524,                 1.2613,                 1.4258,               0.001387,               0.001387,               0.001387
                    176,                 1.1946,                 2.2725,                 1.3795,                 1.6861,                0.79167,                0.73282,                0.82286,                0.59096,                0.72274,                0.58987,                0.64696,                0.35065,                 1.1264,                 1.8921,                 1.2616,                 1.4264,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.1878,                 2.2365,                 1.3709,                 1.6791,                0.77046,                0.72854,                0.82465,                 0.5916,                0.66714,                0.61968,                0.65048,                0.34804,                 1.1332,                 1.8793,                 1.2617,                 1.4245,               0.001288,               0.001288,               0.001288
                    178,                 1.1709,                  2.159,                 1.3416,                 1.6695,                0.76205,                0.74379,                 0.8225,                0.58866,                0.61526,                0.62248,                0.63074,                0.34358,                 1.1266,                 1.8346,                 1.2542,                 1.4087,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.2113,                 2.1685,                 1.3867,                 1.6875,                0.73265,                0.73752,                0.81406,                0.58533,                0.62583,                0.61167,                0.61489,                0.33513,                 1.1038,                 1.8344,                 1.2415,                 1.3928,               0.001189,               0.001189,               0.001189
                    180,                 1.1836,                 2.1662,                 1.3659,                 1.6425,                 0.7592,                 0.7342,                0.81521,                0.58421,                  0.613,                0.59426,                0.59843,                0.32662,                  1.102,                 1.8404,                 1.2448,                 1.3924,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.1852,                 2.2145,                 1.3714,                 1.6205,                0.71994,                 0.7335,                0.79978,                0.57341,                0.56906,                0.59978,                0.58705,                0.31294,                 1.1377,                  1.834,                 1.2723,                 1.4175,                0.00109,                0.00109,                0.00109
                    182,                  1.203,                 2.1856,                 1.3651,                 1.6842,                0.73698,                0.73245,                0.80502,                0.58173,                0.60341,                0.59561,                0.59496,                0.31873,                 1.1543,                 1.8503,                 1.2828,                 1.4309,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.1962,                 2.2066,                 1.3674,                 1.6581,                0.74478,                0.73525,                0.80719,                0.58632,                  0.625,                0.59489,                0.59594,                0.32144,                 1.1421,                 1.8706,                 1.2651,                 1.4241,               0.000991,               0.000991,               0.000991
                    184,                 1.1926,                  2.073,                 1.3795,                 1.6373,                0.75205,                0.73707,                0.81422,                0.59863,                0.68948,                0.58467,                0.62092,                0.33062,                 1.1144,                 1.8497,                 1.2415,                 1.4054,              0.0009415,              0.0009415,              0.0009415
                    185,                  1.199,                 2.1955,                 1.3476,                 1.6346,                0.81776,                0.69229,                0.81991,                0.60691,                0.70256,                0.59696,                0.63027,                  0.337,                 1.0997,                 1.8492,                 1.2239,                 1.3912,               0.000892,               0.000892,               0.000892
                    186,                 1.1307,                 2.1445,                 1.3183,                 1.6008,                0.82537,                0.69229,                 0.8253,                0.60939,                0.70312,                0.58941,                0.62696,                0.34304,                 1.0852,                  1.836,                 1.2102,                 1.3835,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.2383,                 2.2048,                 1.3901,                 1.6428,                 0.7736,                0.73014,                0.83044,                0.60613,                 0.6936,                0.60346,                0.63625,                0.33779,                 1.0812,                 1.8294,                 1.2117,                 1.3832,               0.000793,               0.000793,               0.000793
                    188,                  1.202,                 2.1023,                 1.3772,                 1.6534,                0.77059,                0.76522,                0.83444,                0.61114,                0.63629,                0.62933,                0.63149,                 0.3419,                  1.084,                 1.7919,                 1.2098,                 1.3922,              0.0007435,              0.0007435,              0.0007435
                    189,                  1.174,                 2.1993,                 1.3326,                 1.6522,                0.79403,                0.75974,                0.84307,                0.61709,                0.64575,                 0.6373,                 0.6393,                0.34669,                 1.0808,                 1.7703,                 1.2011,                 1.3925,               0.000694,               0.000694,               0.000694
                    190,                 1.1836,                 2.1631,                 1.5593,                 1.6215,                0.80055,                 0.7206,                0.84081,                0.61639,                0.62492,                0.64536,                0.61936,                0.34557,                 1.0989,                 1.7819,                 1.2293,                 1.4046,              0.0006445,              0.0006445,              0.0006445
                    191,                  1.293,                 2.0391,                 1.6036,                 1.5985,                 0.7577,                0.73981,                0.82553,                0.59209,                0.59845,                0.63881,                0.61337,                0.32716,                 1.1493,                  1.771,                 1.2949,                 1.4391,               0.000595,               0.000595,               0.000595
                    192,                 1.1751,                 1.9542,                 1.4417,                 1.5799,                0.71741,                0.78928,                0.81455,                0.57923,                0.58423,                0.63658,                0.60098,                 0.3181,                 1.1648,                 1.7863,                 1.3269,                 1.4554,              0.0005455,              0.0005455,              0.0005455
                    193,                 1.1439,                 1.9645,                 1.3982,                 1.5597,                0.69509,                0.78552,                0.80828,                0.56722,                0.56118,                0.63551,                0.59276,                0.31243,                 1.1735,                 1.7999,                  1.347,                 1.4643,               0.000496,               0.000496,               0.000496
                    194,                 1.1417,                 2.1392,                  1.413,                  1.587,                0.73108,                 0.7713,                0.82169,                   0.58,                0.59715,                0.64618,                0.61706,                 0.3209,                 1.1636,                 1.7732,                 1.3118,                  1.451,              0.0004465,              0.0004465,              0.0004465
                    195,                  1.109,                 2.1049,                 1.3932,                 1.5416,                0.71655,                0.78322,                0.82852,                0.58729,                0.59928,                0.65018,                0.61907,                0.32792,                 1.1524,                 1.7737,                 1.2936,                 1.4403,               0.000397,               0.000397,               0.000397
                    196,                 1.1647,                 1.9101,                 1.3919,                 1.5214,                 0.7344,                0.78503,                0.83931,                0.60696,                0.64849,                0.63222,                  0.639,                0.33946,                 1.1325,                 1.7746,                 1.2591,                 1.4191,              0.0003475,              0.0003475,              0.0003475
                    197,                 1.1275,                 2.0751,                 1.4041,                 1.5367,                0.76934,                0.76225,                0.84374,                0.61768,                0.65647,                0.62364,                0.62655,                0.34223,                 1.1229,                 1.7528,                 1.2369,                 1.4112,               0.000298,               0.000298,               0.000298
                    198,                 1.1435,                  2.032,                 1.3936,                 1.5267,                0.78417,                 0.7553,                0.84506,                 0.6213,                0.65694,                 0.6348,                 0.6316,                0.34387,                 1.1205,                 1.7408,                 1.2232,                  1.409,              0.0002485,              0.0002485,              0.0002485
                    199,                  1.071,                 2.0715,                  1.354,                 1.5114,                0.79212,                0.74925,                0.84916,                0.62371,                0.65839,                0.64753,                 0.6326,                 0.3459,                   1.12,                 1.7482,                  1.213,                 1.4091,               0.000199,               0.000199,               0.000199
